ID,Name in English,Degree of endangerment,Country,Country code alpha 3
321,Warekena (Venezuela),Severely endangered,Venezuela (Bolivarian Republic of),VEN
64,Boguru,Critically endangered,Democratic Republic of the Congo,COD
64,Boguru,Critically endangered,Sudan,SDN
1937,Pukobyê,Vulnerable,Brazil,BRA
2255,Swoeng,Definitely endangered,Lao People's Democratic Republic,LAO
1730,Wali,Critically endangered,Sudan,SDN
1667,Gavião do Pará,Vulnerable,Brazil,BRA
2352,Malecite,Definitely endangered,Canada,CAN
2352,Malecite,Definitely endangered,United States of America,USA
1915,Ninam (Brazil),Vulnerable,Brazil,BRA
1626,Zoró,Vulnerable,Brazil,BRA
1917,Sanema (Brazil),Vulnerable,Brazil,BRA
935,Ixtenco Otomí,Severely endangered,Mexico,MEX
1533,Ottawa (Michigan),Critically endangered,United States of America,USA
1756,Kanela Apaniekra,Vulnerable,Brazil,BRA
2347,Satawal,Severely endangered,Micronesia (Federated States of),FSM
956,Chatino of Zacatepec,Definitely endangered,Mexico,MEX
2527,Demisa,Definitely endangered,Indonesia,IDN
899,Koasati (Louisiana),Definitely endangered,United States of America,USA
1544,Koasati (Texas),Definitely endangered,United States of America,USA
730,Nanti,Vulnerable,Peru,PER
82,Shabo,Severely endangered,Ethiopia,ETH
750,Sharanahua,Severely endangered,Peru,PER
653,Siona  Secoya (Peru),Definitely endangered,Peru,PER
2653,Tolomako,Definitely endangered,Vanuatu,VUT
1820,Enawenê-Nawê,Vulnerable,Brazil,BRA
1029,Valle Nacional Chinantec,Definitely endangered,Mexico,MEX
598,Gavião de Rondônia,Vulnerable,Brazil,BRA
1500,Tabasco Náhuatl,Critically endangered,Mexico,MEX
2703,Sera,Severely endangered,Papua New Guinea,PNG
1921,Yecuana (Brazil),Vulnerable,Brazil,BRA
